book_id,book_title,author_name
1242543,Here If You Need Me: A True Story,Kate Braestrup
23591861,"The Neon Lawyer (Brigham Theodore, #1)",Victor Methos
22107256,"Deep Redemption (Hades Hangmen, #4)",Tillie Cole
306443,Eat Cake,Jeanne Ray
6261332,Shop Class as Soulcraft: An Inquiry Into the Value of Work,Matthew B. Crawford
4757303,Undress Me in the Temple of Heaven,Susan Jane Gilman
213387,Boomsday,Christopher Buckley
15167,"She Got Up Off the Couch: And Other Heroic Acts from Mooreland, Indiana",Haven Kimmel
61834,A Night to Remember,"Nathaniel Philbrick, Walter Lord"
18246306,"Waiting on You (Blue Heron, #3)",Kristan Higgins
1669331,Gym Candy,Carl Deuker
26034765,"Wicked Sexy Liar (Wild Seasons, #4)",Christina Lauren
7515197,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Rob Sheffield
3078805,I See You Everywhere,Julia Glass
33459,Coyote Blue,Christopher Moore
444056,I Am a Mother,Jane Clayson Johnson
25105,Brief Lives (The Sandman #7),"Neil Gaiman, Peter Straub, Vince Locke, Jill Thompson"
22893,Incantation,Alice Hoffman
32801953,"Commander in Chief (White House, #2)",Katy Evans
31424202,Everything for Her (For Her #1),Alexa Riley
70420,The Undercover Economist,Tim Harford
74821,"Day by Day Armageddon (Day by Day Armageddon,#1)",J.L. Bourne
34853951,Hate to Love You,Tijan
242956,Firegirl,Tony Abbott
49746,Whale Talk,Chris Crutcher
227462,The Doctor's Wife,Elizabeth Brundage
13158130,To Heaven and Back: The True Story of a Doctor's Extraordinary Walk with God,Mary C. Neal
1464757,"Edensor (Tetralogi Laskar Pelangi, #3)",Andrea Hirata
71252,The Kindly Ones (The Sandman #9),"Charles Vess, Dean Ormston, Neil Gaiman, Kevin Nowlan, Teddy Kristiansen, D'Israeli, Glyn Dillon, Todd Klein, Marc Hempel, Frank McConnell, Richard Case"
586472,The Right Stuff,Tom Wolfe
5423030,A Big Little Life:  A Memoir of a Joyful Dog,Dean Koontz
14595,Please Kill Me: The Uncensored Oral History of Punk,"Gillian McCain, Legs McNeil"
25177005,"The Murder of Mary Russell (Mary Russell and Sherlock Holmes, #14)",Laurie R. King
352965,Fire of the Covenant: The Story of the Willie and Martin Handcart Companies,Gerald N. Lund
18405221,"Queen of Fire (Raven's Shadow, #3)",Anthony  Ryan
174403,Back Roads,Tawni O'Dell
34776338,Trust,Kylie Scott
826576,How to Steal a Dog,Barbara O'Connor
6632372,Parrot and Olivier in America,Peter Carey
13227319,"Wonder Woman, Volume 1: Blood","Dan Green, Tony Akins, Brian Azzarello, Jared K. Fletcher, Cliff Chiang, Matthew Wilson"
